megadbid,reg_id,year,plot_use,matchto,origplotno,area,wilderns,roundno,year,sampleno,labbatch,scicode,fieldrep,labrep,colldate,hg_ppb,lab,,
106916,6,2013,84353 41 35,1036148,,Fremont-Winema NF,Sky Lakes Wilderness,2010-2019,2013,R6_2013039,P045 13-14,Plagla,1,2,7/5/2013,314.42,UMN_RAL,,
106916,6,2013,84353 41 35,1036148,,Fremont-Winema NF,Sky Lakes Wilderness,2010-2019,2013,R6_2013039,P045 13-14,Plagla,1,1,7/5/2013,319.78,UMN_RAL,,
855,6,2007,77881 41 35,1024176,,Fremont-Winema NF,,2000-2009,2007,R6_2007108,P072 07-08,Letvul,1,1,6/23/2007,342.21,UMN_RAL,,
912,6,2010,69709 41 35,1034152,,Fremont-Winema NF,,2010-2019,2010,R6_2010018,P130  10-11,Letvul,1,1,7/22/2010,353.62,UMN_RAL,,
2555,6,2010,57114 41 35,1058184,,Fremont-Winema NF,,2010-2019,2010,R6_2010034,P130  10-11,Letvul,1,1,7/19/2010,366.32,UMN_RAL,,
2555,6,2010,57114 41 35,1058184,,Fremont-Winema NF,,2010-2019,2010,R6_2010035,P130  10-11,Letvul,2,1,7/19/2010,378.76,UMN_RAL,,
969,6,2009,91408 41 35,1040164,,Fremont-Winema NF,,2000-2009,2009,R6_2009174,P084 09-10,Letvul,1,1,9/4/2009,391.3531974,UMN_RAL,,
1059,6,2009,97058 41 35,1052156,,Fremont-Winema NF,Mount Thielsen Wilderness,2000-2009,2009,R6_2009170,P084 09-10,Letcol,1,1,9/4/2009,393.5606805,UMN_RAL,,
106888,6,2013,60944 41 35,1020152,,Fremont-Winema NF,Mountain Sky Wilderness,2010-2019,2013,R6_2013028,P045 13-14,Letvul,1,1,7/2/2013,398.51,UMN_RAL,,
914,6,2010,58358 41 35,1034168,,Fremont-Winema NF,,2010-2019,2010,R6_2010014,P130  10-11,Letvul,1,1,7/28/2010,414.02,UMN_RAL,,
910,6,2007,78094 41 35,1034148,,Fremont-Winema NF,Sky Lakes Wilderness,2000-2009,2007,R6_2007114,P072 07-08,Alesar,2,1,6/20/2007,415.57,UMN_RAL,,
106870,6,2013,54960 41 37,1030244,,Fremont-Winema NF,,2010-2019,2013,R6_2013152,P045 13-14,Letvul,1,1,7/4/2013,430.84,UMN_RAL,,
106869,6,2013,63778 41 35,1028208,,Fremont-Winema NF,,2010-2019,2013,R6_2013026,P045 13-14,Letvul,1,1,7/3/2013,435.52,UMN_RAL,,
106866,6,2013,84388 41 37,1018264,,Fremont-Winema NF,,2010-2019,2013,R6_2013148,P045 13-14,Letvul,1,1,7/4/2013,440.54,UMN_RAL,,
831,6,2009,63307 41 35,1018152,,Fremont-Winema NF,Mountain Lakes Wilderness,2000-2009,2009,R6_2009207,P084 09-10,Letvul,1,1,9/8/2009,441.9164067,UMN_RAL,,
842,6,2009,75357 41 35,1022152,,Fremont-Winema NF,,2000-2009,2009,R6_2009201,P084 09-10,Letvul,2,2,9/9/2009,445.361478,UMN_RAL,,
106871,6,2013,70857 41 37,1034224,,Fremont-Winema NF,,2010-2019,2013,R6_2013002,P045 13-14,Letvul,1,1,7/5/2013,456.62,UMN_RAL,,
106873,6,2013,88892 41 37,1046204,,Fremont-Winema NF,,2010-2019,2013,R6_2013138,P045 13-14,Letvul,1,1,7/5/2013,458.54,UMN_RAL,,
993,6,2010,97651 41 35,1044184,,Fremont-Winema NF,,2010-2019,2010,R6_2010024,P130  10-11,Letvul,1,1,7/21/2010,462.1,UMN_RAL,,
106864,6,2013,71173 41 37,1014228,,Fremont-Winema NF,,2010-2019,2013,R6_2013141,P045 13-14,Letvul,1,1,7/2/2013,463.07,UMN_RAL,,
106870,6,2013,54960 41 37,1030244,,Fremont-Winema NF,,2010-2019,2013,R6_2013151,P045 13-14,Letvul,1,2,7/4/2013,465.93,UMN_RAL,,
106870,6,2013,54960 41 37,1030244,,Fremont-Winema NF,,2010-2019,2013,R6_2013151,P045 13-14,Letvul,1,1,7/4/2013,466.36,UMN_RAL,,
106883,6,2013,87287 41 35,1054156,,Fremont-Winema NF,Mount Thielsen Wilderness,2010-2019,2013,R6_2013029,P045 13-14,Letvul,1,1,7/6/2013,476.71,UMN_RAL,,
106872,6,2013,98163 41 37,1038216,,Fremont-Winema NF,,2010-2019,2013,R6_2013143,P045 13-14,Letvul,1,1,7/5/2013,486.49,UMN_RAL,,
4041,6,2010,SL-5,SL-5,,Fremont-Winema NF,,2010-2019,2010,R6_2010040,P130  10-11,Letvul,1,1,7/26/2010,496.96,UMN_RAL,,
925,6,2010,70271 41 35,1034200,,Fremont-Winema NF,,2010-2019,2010,R6_2010047,P130  10-11,Letvul,1,1,7/26/2010,560.17,UMN_RAL,,
4041,6,2010,SL-5,SL-5,,Fremont-Winema NF,,2010-2019,2010,R6_2010041,P130  10-11,Letvul,2,1,7/26/2010,561.68,UMN_RAL,,
4037,6,2010,SL-2,SL-2,,Fremont-Winema NF,,2010-2019,2010,R6_2010038,P130  10-11,Letvul,1,1,7/26/2010,569.87,UMN_RAL,,
106865,6,2013,69743 41 35,1018212,,Fremont-Winema NF,,2010-2019,2013,R6_2013145,P045 13-14,Letvul,1,1,7/2/2013,573.32,UMN_RAL,,
106868,6,2013,99525 41 35,1022228,,Fremont-Winema NF,,2010-2019,2013,R6_2013025,P045 13-14,Letvul,2,1,7/3/2013,577.91,UMN_RAL,,
886,6,2010,96215 41 35,1030168,,Fremont-Winema NF,,2010-2019,2010,R6_2010013,P130  10-11,Letvul,1,1,7/28/2010,598.47,UMN_RAL,,
891,6,2009,80073 41 35,1030192,,Fremont-Winema NF,,2000-2009,2009,R6_2009164,P084 09-10,Letvul,1,1,9/7/2009,608.0726866,UMN_RAL,,
886,6,2010,96215 41 35,1030168,,Fremont-Winema NF,,2010-2019,2010,R6_2010012,P130  10-11,Letvul,2,1,7/28/2010,611.86,UMN_RAL,,
1039,6,2010,96110 41 35,1050180,,Fremont-Winema NF,,2010-2019,2010,R6_2010028,P130  10-11,Letvul,1,1,7/21/2010,613.89,UMN_RAL,,
846,6,2010,71848 41 35,1022196,,Fremont-Winema NF,,2010-2019,2010,R6_2010003,P130  10-11,Letvul,1,1,7/27/2010,616.74,UMN_RAL,,
