ID,TaxLevel,Lifeform,Morphology,Habit,Symbiont,fxlgp,TaxStatus,Synonym,CurrentSciName22chklst,CurrentAuth,ChcklstRemrks,NewSciCode,R6Scicode,FIANumCode,FIAAlphaCode,FIA Sci,NRCS Symbol,Common Name,Notes,Family,fxlgpcode,S_e_class,S_e_occ,S_e_max,S_e_CL =80+,S_e_50+,S_e_10+,S_w_class,S_w_occ,S_w_max,S_w_CL =80+,S_w_50+ w,S_w_10+ ,N_e_class ,N_e_occ,N_e_max,N_e_CL =80+,N_e_50+,N_e_10+,N_w_class,N_w_occ,N_w_max,N_w_CL =80+,N_w_50+,N_w_10+,consrv_stat,consrv_stat_link
7674,Species,Microlichen,Crustose,,,,Current,Porpidia cinereoatra,Porpidia cinereoatra,(Ach.) Hertel & Knoph,,Porcin1,Porcin,,,,POCI5,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7675,Species,Microlichen,Crustose,,,,Synonym,Porpidia herteliana,Porpidia cinereoatra,(Ach.) Hertel & Knoph,,Porher,Porcin,,,,POCI5,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7676,Species,Microlichen,Crustose,,,,Synonym,Lecidea diversa,Porpidia contraponenda,(Arnold) Knoph & Hertel,,Lecdiv,Porcon,,,,,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G2,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1047220/Porpidia_contraponenda
7677,Species,Microlichen,Crustose,,,,Current,Porpidia contraponenda,Porpidia contraponenda,(Arnold) Knoph & Hertel,,Porcon,Porcon,,,,,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G2,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1047220/Porpidia_contraponenda
7678,Species,Microlichen,Crustose,,,,Synonym,Porpidia diversa,Porpidia contraponenda,(Arnold) Knoph & Hertel,,Pordiv,Porcon,,,,,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G2,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1047220/Porpidia_contraponenda
7679,Species,Microlichen,Crustose,,,,Synonym,Huilia crustulata,Porpidia crustulata,(Ach.) Hertel & Knoph,,Huicru,Porcru,,,,POCR13,crust porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G5,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.124288/Porpidia_crustulata
7680,Species,Microlichen,Crustose,,,,Synonym,Lecidea crustulata,Porpidia crustulata,(Ach.) Hertel & Knoph,,Leccru12,Porcru,,,,POCR13,crust porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G5,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.124288/Porpidia_crustulata
7681,Species,Microlichen,Crustose,,,,Current,Porpidia crustulata,Porpidia crustulata,(Ach.) Hertel & Knoph,,Porcru,Porcru,,,,POCR13,crust porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G5,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.124288/Porpidia_crustulata
7682,Species,Microlichen,Crustose,,,,Synonym,Lecidea degelii,Porpidia degelii,(H. Magn.) Lendemer,,Lecdeg1,,,,,,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7683,Species,Microlichen,Crustose,,,,Current,Porpidia degelii,Porpidia degelii,(H. Magn.) Lendemer,,Pordeg,,,,,,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7684,Species,Microlichen,Crustose,,,,Synonym,Huilia flavocaerulescens,Porpidia flavicunda,(Ach.) Gowan,,Huifla,,,,,,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G4,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123438/Porpidia_flavicunda
7685,Species,Microlichen,Crustose,,,,Synonym,Lecidea flavocaerulescens,Porpidia flavicunda,(Ach.) Gowan,,Lecfla15,,,,,,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G4,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123438/Porpidia_flavicunda
7686,Species,Microlichen,Crustose,,,,Current,Porpidia flavicunda,Porpidia flavicunda,(Ach.) Gowan,,Porfla,,,,,,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G4,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123438/Porpidia_flavicunda
7687,Species,Microlichen,Crustose,,,,Synonym,Porpidia flavocaerulescens,Porpidia flavicunda,(Ach.) Gowan,,Porfla1,,,,,,porpidia lichen,,Porpidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G4,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123438/Porpidia_flavicunda
